company,metric_name,value,unit,status,accession,concept,period,filed_date,evidence_path
Salesforce,Net income,7457000000,USD,CANDIDATE,0001108524-26-000060,NetIncomeLoss,2025-02-01:2026-01-31,2026-03-02,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0001108524.json
Salesforce,Total assets,112305000000,USD,CANDIDATE,0001108524-26-000060,Assets,:2026-01-31,2026-03-02,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0001108524.json
Lumen Technologies,Revenue,11331000000,USD,CANDIDATE,0000018926-26-000014,RevenueFromContractWithCustomerExcludingAssessedTax,2025-01-01:2025-12-31,2026-02-20,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0000018926.json
Lumen Technologies,Net income,-1739000000,USD,CANDIDATE,0000018926-26-000014,NetIncomeLoss,2025-01-01:2025-12-31,2026-02-20,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0000018926.json
Lumen Technologies,Total assets,34342000000,USD,CANDIDATE,0000018926-26-000014,Assets,:2025-12-31,2026-02-20,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0000018926.json
Macy's,Revenue,21764000000,USD,CANDIDATE,0001628280-26-021721,RevenueFromContractWithCustomerExcludingAssessedTax,2025-02-02:2026-01-31,2026-03-27,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0000794367.json
Macy's,Net income,642000000,USD,CANDIDATE,0001628280-26-021721,NetIncomeLoss,2025-02-02:2026-01-31,2026-03-27,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0000794367.json
Macy's,Total assets,16238000000,USD,CANDIDATE,0001628280-26-021721,Assets,:2026-01-31,2026-03-27,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0000794367.json
Paramount Skydance / Paramount Global,Revenue,29213000000,USD,CANDIDATE_RELATED_CIK,0000813828-25-000005,RevenueFromContractWithCustomerExcludingAssessedTax,2024-01-01:2024-12-31,2025-02-26,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0000813828.json
Paramount Skydance / Paramount Global,Net income,-6190000000,USD,CANDIDATE_RELATED_CIK,0000813828-25-000005,NetIncomeLoss,2024-01-01:2024-12-31,2025-02-26,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0000813828.json
Paramount Skydance / Paramount Global,Total assets,43342000000,USD,CANDIDATE,0002041610-26-000011,Assets,:2025-12-31,2026-02-25,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0002041610.json
Enphase Energy,Revenue,1472985000,USD,CANDIDATE,0001463101-26-000013,RevenueFromContractWithCustomerExcludingAssessedTax,2025-01-01:2025-12-31,2026-02-17,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0001463101.json
Enphase Energy,Net income,172133000,USD,CANDIDATE,0001463101-26-000013,NetIncomeLoss,2025-01-01:2025-12-31,2026-02-17,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0001463101.json
Enphase Energy,Total assets,3509792000,USD,CANDIDATE,0001463101-26-000013,Assets,:2025-12-31,2026-02-17,/Users/lyuhongwang/Documents/SEC_metrics/evidence/companyfacts/CIK0001463101.json
