company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,19230223
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,17207207
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,TotalShareholderRtnAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,111.64
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-4,,2022-01-01,2022-12-31,120.66
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,CoSelectedMeasureAmt,xbrli:pure,c-4,,2022-01-01,2022-12-31,0.18
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoTotalCompAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,85159860
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,131255455
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,23472201
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,35685622
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,TotalShareholderRtnAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,127.73
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-5,,2021-01-01,2021-12-31,134.87
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,CoSelectedMeasureAmt,xbrli:pure,c-5,,2021-01-01,2021-12-31,0.23
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,NamedExecutiveOfficersFnTextBlock,,c-1,,2025-01-01,2025-12-31,"NEOs included in the above table are comprised of the following individuals. In accordance with SEC rules, only the Firm’s CEO, CFO and the other NEOs as required pursuant to Item 402 of Regulation S-K from each year's SCT have been included."
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoName,,c-1,,2025-01-01,2025-12-31,James Dimon
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoName,,c-2,,2024-01-01,2024-12-31,James Dimon
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoName,,c-3,,2023-01-01,2023-12-31,James Dimon
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoName,,c-4,,2022-01-01,2022-12-31,James Dimon
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoName,,c-5,,2021-01-01,2021-12-31,James Dimon
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,PeoTotalCompAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,40632724
JPMorgan Chase,19617,0000019617-26-000096,jpm-20260402.htm,https://www.sec.gov/Archives/edgar/data/19617/000001961726000096/jpm-20260402.htm,evidence/accession_materials/jpmorgan_chase_19617_000001961726000096/jpm-20260402.htm,bea52712a4297691c6844441f3a138bb53d9e8f38278b08b3d3731280c4fc476,ecd,AdjToCompAmt,iso4217:USD,c-6,ecd:AdjToCompAxis=jpm:AggregateGrantDateFairValueOfStockAwardAmountsReportedInSummaryCompensationTableMember;ecd:ExecutiveCategoryAxis=ecd:PeoMember,2025-01-01,2025-12-31,-32500000
